DEPT,NPHI_ED,CALI,PHIE:1,NEUT,SP:1,SWE,RES,RHOB:1,VSH,PHIE:2,GR,SP:2,RHOB:2,Well
3100.0,0.263,13.3,0.256,34.8,51.21,1.0,1.33,2.14,0.20345,0.256,49.15,51.21,2.14,Project_well_logs/TMG-1-logs
3101.0,0.258,13.27,0.264,47.2,53.69,1.0,1.32,2.128,0.159715,0.264,45.92,53.69,2.128,Project_well_logs/TMG-1-logs
3102.0,0.265,13.4,0.288,29.6,55.17,1.0,1.31,2.079,0.131052,0.288,43.47,55.17,2.079,Project_well_logs/TMG-1-logs
3103.0,0.269,13.37,0.284,19.3,56.65,1.0,1.31,2.107,0.113077,0.284,41.76,56.65,2.107,Project_well_logs/TMG-1-logs
3104.0,0.274,12.86,0.264,7.8,56.53,1.0,1.3,2.123,0.216676,0.264,50.03,56.53,2.123,Project_well_logs/TMG-1-logs
3105.0,0.269,12.96,0.242,20.2,55.14,1.0,1.29,2.159,0.276159,0.242,53.56,55.14,2.159,Project_well_logs/TMG-1-logs
3106.0,0.266,12.97,0.25,27.6,54.03,1.0,1.28,2.128,0.281355,0.25,53.84,54.03,2.128,Project_well_logs/TMG-1-logs
3107.0,0.265,12.89,0.266,30.6,53.38,1.0,1.28,2.094,0.240145,0.266,51.5,53.38,2.094,Project_well_logs/TMG-1-logs
3108.0,0.268,13.46,0.275,22.1,53.5,1.0,1.29,2.109,0.158226,0.275,45.8,53.5,2.109,Project_well_logs/TMG-1-logs
3109.0,0.267,14.15,0.279,24.7,54.3,1.0,1.29,2.136,0.0799335,0.279,38.15,54.3,2.136,Project_well_logs/TMG-1-logs
3110.0,0.261,12.89,0.275,39.6,55.12,1.0,1.29,2.149,0.0645008,0.275,36.21,55.12,2.149,Project_well_logs/TMG-1-logs
3111.0,0.259,12.52,0.273,44.9,55.7,1.0,1.29,2.186,0.0624721,0.273,35.94,55.7,2.186,Project_well_logs/TMG-1-logs
3112.0,0.263,12.54,0.279,35.0,56.12,1.0,1.29,2.176,0.0657926,0.279,36.38,56.12,2.176,Project_well_logs/TMG-1-logs
3113.0,0.267,12.73,0.287,25.6,55.41,1.0,1.29,2.114,0.0748335,0.287,37.53,55.41,2.114,Project_well_logs/TMG-1-logs
3114.0,0.271,12.75,0.292,14.4,53.0,1.0,1.29,2.096,0.0902774,0.292,39.35,53.0,2.096,Project_well_logs/TMG-1-logs
3115.0,0.275,13.27,0.31,6.1,52.13,1.0,1.3,2.039,0.105774,0.31,41.02,52.13,2.039,Project_well_logs/TMG-1-logs
3116.0,0.279,13.78,0.319,95.9,50.86,1.0,1.3,2.013,0.121815,0.319,42.61,50.86,2.013,Project_well_logs/TMG-1-logs
3117.0,0.282,13.98,0.275,88.4,49.42,1.0,1.29,2.123,0.170401,0.275,46.76,49.42,2.123,Project_well_logs/TMG-1-logs
3118.0,0.285,14.1,0.264,83.6,48.52,1.0,1.3,2.147,0.273224,0.264,53.4,48.52,2.147,Project_well_logs/TMG-1-logs
3119.0,0.283,14.07,0.204,87.9,49.83,1.0,1.31,2.19,0.527412,0.204,63.9,49.83,2.19,Project_well_logs/TMG-1-logs
3120.0,0.278,13.65,0.195,98.3,49.41,1.0,1.31,2.188,0.607377,0.195,66.3,49.41,2.188,Project_well_logs/TMG-1-logs
3121.0,0.274,13.24,0.203,7.2,48.78,1.0,1.33,2.129,0.667964,0.203,67.94,48.78,2.129,Project_well_logs/TMG-1-logs
3122.0,0.27,13.28,0.2,17.0,47.61,1.0,1.35,2.114,0.715639,0.2,69.14,47.61,2.114,Project_well_logs/TMG-1-logs
3123.0,0.265,13.17,0.201,30.6,45.83,1.0,1.36,2.098,0.728855,0.201,69.46,45.83,2.098,Project_well_logs/TMG-1-logs
3124.0,0.266,12.68,0.199,27.8,44.21,1.0,1.39,2.154,0.602085,0.199,66.15,44.21,2.154,Project_well_logs/TMG-1-logs
3125.0,0.271,12.68,0.221,16.5,42.15,1.0,1.42,2.19,0.392974,0.221,59.05,42.15,2.19,Project_well_logs/TMG-1-logs
3126.0,0.274,12.74,0.244,7.2,42.36,1.0,1.44,2.151,0.295644,0.244,54.59,42.36,2.151,Project_well_logs/TMG-1-logs
3127.0,0.272,12.83,0.258,12.2,44.83,1.0,1.44,2.128,0.241474,0.258,51.58,44.83,2.128,Project_well_logs/TMG-1-logs
3128.0,0.269,12.94,0.269,20.7,46.41,1.0,1.44,2.119,0.180069,0.269,47.49,46.41,2.119,Project_well_logs/TMG-1-logs
3129.0,0.266,13.04,0.299,28.3,46.5,1.0,1.42,2.067,0.0908114,0.299,39.41,46.5,2.067,Project_well_logs/TMG-1-logs
3130.0,0.263,13.1,0.302,33.7,45.03,1.0,1.37,2.082,0.0459528,0.302,33.59,45.03,2.082,Project_well_logs/TMG-1-logs
3131.0,0.263,13.16,0.299,34.6,45.83,1.0,1.3,2.099,0.0334397,0.299,31.6,45.83,2.099,Project_well_logs/TMG-1-logs
3132.0,0.266,13.22,0.312,27.6,47.37,1.0,1.25,2.06,0.0383171,0.312,32.4,47.37,2.06,Project_well_logs/TMG-1-logs
3133.0,0.271,13.26,0.322,15.6,55.37,1.0,1.21,2.036,0.0416604,0.322,32.93,55.37,2.036,Project_well_logs/TMG-1-logs
3134.0,0.275,13.13,0.315,6.0,56.2,1.0,1.19,2.061,0.0421729,0.315,33.01,56.2,2.061,Project_well_logs/TMG-1-logs
3135.0,0.28,12.5,0.31,95.1,56.11,1.0,1.21,2.085,0.0385663,0.31,32.44,56.11,2.085,Project_well_logs/TMG-1-logs
3136.0,0.283,13.11,0.332,86.6,55.27,1.0,1.24,2.015,0.0542097,0.332,34.8,55.27,2.015,Project_well_logs/TMG-1-logs
3137.0,0.285,13.4,0.314,82.9,54.06,1.0,1.27,2.059,0.0721843,0.314,37.2,54.06,2.059,Project_well_logs/TMG-1-logs
3138.0,0.285,13.48,0.301,82.4,54.26,1.0,1.29,2.086,0.0939599,0.301,39.76,54.26,2.086,Project_well_logs/TMG-1-logs
3139.0,0.274,13.46,0.282,8.6,55.18,1.0,1.29,2.113,0.126705,0.282,43.07,55.18,2.113,Project_well_logs/TMG-1-logs
3140.0,0.251,13.34,0.278,64.5,56.35,1.0,1.3,2.098,0.121291,0.278,42.56,56.35,2.098,Project_well_logs/TMG-1-logs
3141.0,0.232,13.03,0.29,17.0,57.8,0.997933,1.31,2.067,0.0664045,0.29,36.46,57.8,2.067,Project_well_logs/TMG-1-logs
3142.0,0.228,12.51,0.296,28.9,58.95,0.908802,1.32,2.069,0.0171403,0.296,28.66,58.95,2.069,Project_well_logs/TMG-1-logs
3143.0,0.225,12.71,0.293,34.7,58.97,0.871346,1.33,2.076,0.0056777,0.293,26.29,58.97,2.076,Project_well_logs/TMG-1-logs
3144.0,0.236,12.78,0.303,6.0,57.8,0.824025,1.33,2.06,0.00765529,0.303,26.72,57.8,2.06,Project_well_logs/TMG-1-logs
3145.0,0.254,12.84,0.302,57.6,56.23,0.852141,1.33,2.078,0.0307245,0.302,31.14,56.23,2.078,Project_well_logs/TMG-1-logs
3146.0,0.272,14.19,0.304,13.4,52.5,0.911137,1.33,2.083,0.0508728,0.304,34.32,52.5,2.083,Project_well_logs/TMG-1-logs
3147.0,0.278,15.14,0.308,97.6,51.05,0.961711,1.33,2.062,0.0820363,0.308,38.4,51.05,2.062,Project_well_logs/TMG-1-logs
3148.0,0.284,15.76,0.306,84.2,51.42,1.0,1.32,2.062,0.107525,0.306,41.2,51.42,2.062,Project_well_logs/TMG-1-logs
3149.0,0.29,15.82,0.302,72.0,52.26,1.0,1.32,2.092,0.0893024,0.302,39.24,52.26,2.092,Project_well_logs/TMG-1-logs
3150.0,0.29,15.13,0.294,72.3,53.12,1.0,1.31,2.109,0.105871,0.294,41.03,53.12,2.109,Project_well_logs/TMG-1-logs
3151.0,0.288,13.37,0.298,75.2,54.04,1.0,1.31,2.083,0.125739,0.298,42.98,54.04,2.083,Project_well_logs/TMG-1-logs
3152.0,0.288,13.38,0.306,76.9,55.32,1.0,1.3,2.049,0.145577,0.306,44.75,55.32,2.049,Project_well_logs/TMG-1-logs
3153.0,0.289,12.87,0.303,73.6,56.58,1.0,1.3,2.069,0.128976,0.303,43.28,56.58,2.069,Project_well_logs/TMG-1-logs
3154.0,0.291,12.66,0.315,68.9,55.67,1.0,1.3,2.058,0.0811077,0.315,38.29,55.67,2.058,Project_well_logs/TMG-1-logs
3155.0,0.294,12.67,0.332,63.4,53.9,0.964332,1.3,2.027,0.0555535,0.332,34.99,53.9,2.027,Project_well_logs/TMG-1-logs
3156.0,0.297,12.48,0.354,56.8,52.48,0.827861,1.31,1.976,0.0357315,0.354,31.98,52.48,1.976,Project_well_logs/TMG-1-logs
3157.0,0.301,12.58,0.356,46.1,51.57,0.907172,1.31,1.98,0.0301427,0.356,31.04,51.57,1.98,Project_well_logs/TMG-1-logs
3158.0,0.303,12.89,0.338,42.3,52.03,0.940712,1.31,2.035,0.033619,0.338,31.63,52.03,2.035,Project_well_logs/TMG-1-logs
3159.0,0.303,13.04,0.322,43.1,52.26,0.977531,1.31,2.079,0.0415965,0.322,32.92,52.26,2.079,Project_well_logs/TMG-1-logs
3160.0,0.301,12.61,0.311,48.4,52.09,1.0,1.31,2.098,0.0563375,0.311,35.1,52.09,2.098,Project_well_logs/TMG-1-logs
3161.0,0.297,12.68,0.31,56.8,50.0,1.0,1.31,2.121,0.0793495,0.31,38.08,50.0,2.121,Project_well_logs/TMG-1-logs
3162.0,0.293,12.79,0.263,64.9,50.36,1.0,1.32,2.185,0.126168,0.263,43.02,50.36,2.185,Project_well_logs/TMG-1-logs
3163.0,0.289,12.48,0.233,73.7,51.29,1.0,1.32,2.221,0.176584,0.233,47.23,51.29,2.221,Project_well_logs/TMG-1-logs
3164.0,0.285,12.96,0.235,82.9,51.57,1.0,1.34,2.193,0.274688,0.235,53.48,51.57,2.193,Project_well_logs/TMG-1-logs
3165.0,0.282,12.86,0.248,89.6,51.58,1.0,1.34,2.162,0.317622,0.248,55.69,51.58,2.162,Project_well_logs/TMG-1-logs
3166.0,0.279,12.47,0.227,96.1,50.97,1.0,1.34,2.186,0.36571,0.227,57.9,50.97,2.186,Project_well_logs/TMG-1-logs
3167.0,0.279,12.31,0.22,97.3,49.35,1.0,1.35,2.19,0.406593,0.22,59.6,49.35,2.19,Project_well_logs/TMG-1-logs
3168.0,0.284,12.26,0.228,84.9,42.56,1.0,1.38,2.168,0.445478,0.228,61.09,42.56,2.168,Project_well_logs/TMG-1-logs
3169.0,0.29,12.31,0.224,71.2,36.5,1.0,1.4,2.166,0.481919,0.224,62.39,36.5,2.166,Project_well_logs/TMG-1-logs
