DEPT,NPHI_ED,CALI,PHIE:1,NEUT,SP:1,SWE,RES,RHOB:1,VSH,PHIE:2,GR,SP:2,RHOB:2,WELL
2915.0,0.7,16.85,0.256,0.0,0.0,1.0,1.28,2.059,0.995,0.256,69.65,0.0,2.059,TMG-1-logs.las
2916.0,0.7,15.88,0.282,0.0,0.0,1.0,1.27,2.036,0.960571,0.282,67.24,0.0,2.036,TMG-1-logs.las
2917.0,0.7,16.8,0.266,0.0,0.0,1.0,1.27,2.073,0.941143,0.266,65.88,0.0,2.073,TMG-1-logs.las
2918.0,0.7,16.87,0.261,0.0,0.0,1.0,1.27,2.072,0.961143,0.261,67.28,0.0,2.072,TMG-1-logs.las
2919.0,0.7,16.85,0.268,0.0,0.0,1.0,1.27,2.042,0.99,0.268,69.3,0.0,2.042,TMG-1-logs.las
2920.0,0.7,16.94,0.3,0.0,0.0,1.0,1.27,1.99,0.990571,0.3,69.34,0.0,1.99,TMG-1-logs.las
2921.0,0.7,16.93,0.313,0.0,0.0,1.0,1.27,1.977,0.975714,0.313,68.3,0.0,1.977,TMG-1-logs.las
2922.0,0.7,16.88,0.308,0.0,0.0,1.0,1.27,1.992,0.963857,0.308,67.47,0.0,1.992,TMG-1-logs.las
2923.0,0.27,16.69,0.198,0.0,0.0,1.0,1.27,1.964,0.957143,0.198,67.235,0.0,1.964,TMG-1-logs.las
2924.0,0.7,16.5,0.344,0.0,0.0,1.0,1.27,1.936,0.957143,0.344,67.0,0.0,1.936,TMG-1-logs.las
2925.0,0.7,16.82,0.364,0.0,0.0,1.0,1.26,1.894,0.974286,0.364,68.2,0.0,1.894,TMG-1-logs.las
2926.0,0.7,15.87,0.322,0.0,0.0,1.0,1.26,1.951,0.994143,0.322,69.59,0.0,1.951,TMG-1-logs.las
2927.0,0.7,16.54,0.29,0.0,0.0,1.0,1.26,1.992,1.0,0.29,70.81,0.0,1.992,TMG-1-logs.las
2928.0,0.7,16.8,0.27,0.0,0.0,1.0,1.26,2.009,1.0,0.27,72.41,0.0,2.009,TMG-1-logs.las
2929.0,0.7,16.84,0.292,0.0,0.0,1.0,1.26,1.979,1.0,0.292,71.81,0.0,1.979,TMG-1-logs.las
2930.0,0.7,16.53,0.321,0.0,0.0,1.0,1.26,1.947,1.0,0.321,70.17,0.0,1.947,TMG-1-logs.las
2931.0,0.7,12.76,0.292,0.0,0.0,1.0,1.26,1.995,1.0,0.292,70.15,0.0,1.995,TMG-1-logs.las
2932.0,0.7,12.34,0.273,0.0,0.0,1.0,1.26,2.021,1.0,0.273,70.75,0.0,2.021,TMG-1-logs.las
2933.0,0.7,12.61,0.275,0.0,0.0,1.0,1.26,2.009,1.0,0.275,71.62,0.0,2.009,TMG-1-logs.las
2934.0,0.7,13.54,0.294,0.0,0.0,1.0,1.27,1.978,1.0,0.294,71.68,0.0,1.978,TMG-1-logs.las
2935.0,0.7,13.31,0.323,0.0,0.0,1.0,1.27,1.936,1.0,0.323,71.03,0.0,1.936,TMG-1-logs.las
2936.0,0.7,14.28,0.391,0.0,0.0,1.0,1.27,1.833,1.0,0.391,70.05,0.0,1.833,TMG-1-logs.las
2937.0,0.7,16.66,0.413,0.0,0.0,1.0,1.27,1.802,0.993428,0.413,69.54,0.0,1.802,TMG-1-logs.las
2938.0,0.7,16.85,0.32,0.0,0.0,1.0,1.27,1.928,1.0,0.32,72.31,0.0,1.928,TMG-1-logs.las
2939.0,0.7,14.96,0.262,0.0,0.0,1.0,1.27,1.995,1.0,0.262,74.82,0.0,1.995,TMG-1-logs.las
2940.0,0.7,14.46,0.268,0.0,0.0,1.0,1.27,1.996,0.940162,0.268,73.97,0.0,1.996,TMG-1-logs.las
2941.0,0.7,14.92,0.361,0.0,0.0,1.0,1.27,1.862,0.844677,0.361,72.06,0.0,1.862,TMG-1-logs.las
2942.0,0.7,16.09,0.388,0.0,0.0,1.0,1.27,1.835,0.769833,0.388,70.42,0.0,1.835,TMG-1-logs.las
2943.0,0.7,16.66,0.336,0.0,0.0,1.0,1.27,1.922,0.758103,0.336,70.15,0.0,1.922,TMG-1-logs.las
